Step,Uniform,Normal,Price Increment,Price
0,,,,191.59136962890625
1,0.1868531530474078,-0.0005154403362686893,-0.0009834808982570646,191.8811757522084
2,0.06770403047303919,-0.0008760580541529593,0.00038118663941113053,191.69718438420614
3,0.6082202173223343,-0.0004090685273952365,0.000789804450094123,191.873426256257
4,0.7752355749221046,-0.00040923885575251537,0.0003613795248400879,191.83570864528593
5,0.4503329801624749,0.000836863336727573,-0.0003066900729148015,191.88120970284425
6,0.7325487197252718,-0.0005589285307062576,0.0005366597030841097,191.87516795432634
7,0.7174707097443254,0.00041242715944404796,0.00031143428591724244,191.69807714152938
8,0.5191817238614747,-2.9954453453596644e-06,0.0013815884436561552,191.3792547753128
9,0.34286353964379035,0.0002706166899035719,-0.0012314484605339567,191.2007731688573
10,0.45096521592796246,0.0014057259753050418,0.0004735401509872549,191.1534843326008
11,0.5505169994055389,0.00044444973986986234,0.00025873963779281673,191.2625783914689
12,0.22856822353505835,0.0002729768940463036,-4.531990338011239e-05,191.36149366341516
13,0.6198210355420458,-0.0002333542957321164,-0.001985133610841665,191.27382887576243
14,0.8649263007265494,-0.0008292552160924114,0.00025185126967111214,191.26669080965488
15,0.7804644996565859,0.0003712038106661608,-0.0003546387601449409,191.28355811060518
16,0.0798893673693074,0.0012328371098510153,-0.000705771878268775,191.30879187484456
17,0.10791769985308663,-0.00010595996526221726,0.0025650329429347907,191.34523856525578
18,0.6328819096736851,-0.0010498113224714847,0.001032406709081945,191.4447901255891
19,0.8231176606231873,0.000698057746072664,0.00012720321197069362,191.28896729457836
20,0.30604976164023623,0.0017358731539632677,0.0018411534188589513,191.03554065192034
21,0.06283315196224593,0.000636479995939327,-0.000360256112543175,191.36245362037215
22,0.6903933313840857,-0.0009853209364081442,0.0009837365213714946,191.51432606541252
23,0.35517904416774926,-0.00021369902622592947,0.0010946409843503166,191.41093609234096
24,0.8223523304376388,-0.00037140295248392507,-0.0002786482658327775,191.4423838896888
25,0.23783071320865246,0.0002679063806589909,-0.001037940463786756,191.24457467803472
26,0.7175399281042779,-0.0021583694385600804,0.0007188912166280255,190.96835836914198
27,0.7704785346973569,0.0002693438866764176,0.00031667787805536465,191.0393163163508
28,0.9511432894908519,-0.00138198556441312,1.6526476007150635e-05,190.83019702795926
29,0.700941777202514,0.00032502692714002276,0.0002790463448988946,190.71346513656493
30,0.9519289964396421,-0.0009127087192898951,4.7467608648986285e-05,190.96572581079866
31,0.8595474217493748,-0.0005131983196538985,0.00034273492000957707,190.86971029039182
32,0.7876500873754579,-0.0009764350242659141,-0.00017485454624281574,191.17940801263103
33,0.9832203053064101,0.0003843804027815683,0.0017041827546844868,191.0688362311455
34,0.6965656337202402,-0.00030989523603423884,-0.001340992683750689,191.0312799776843
